Provincia,Filas_Total,Filas_REFES,Pct_Cobertura_REFES
Buenos Aires,16,10,62.5
CABA,16,10,62.5
Tierra del Fuego,16,10,62.5
Santiago del Estero,16,10,62.5
Santa Fe,16,10,62.5
San Luis,16,10,62.5
San Juan,16,10,62.5
Salta,16,10,62.5
Neuquén,16,10,62.5
Misiones,16,10,62.5
Mendoza,16,10,62.5
La Pampa,16,10,62.5
Jujuy,16,10,62.5
Formosa,16,10,62.5
Entre Ríos,16,10,62.5
Córdoba,16,10,62.5
Corrientes,16,10,62.5
Chubut,16,10,62.5
Chaco,16,10,62.5
Catamarca,16,10,62.5
Tucumán,16,10,62.5
La Rioja,16,0,0.0
Río Negro,16,0,0.0
Santa Cruz,16,0,0.0
