Provincia,Region,Año,Tipo_Año,Escenario,Población_Total,Población_18_65,Tasa_Donacion_x1000,Donantes_Anuales,Donantes_OMS_Necesarios,Brecha_Donantes,Pct_Cumplimiento_OMS,Pct_Educacion_Superior,Tasa_Desempleo,Centros_Hemoterapia,Campañas_Donacion_Anuales,Casos_Dengue_Anual
Buenos Aires,Centro,2025,Proyectado,base,17663024,11323618,22.355130914502165,394859.0,529891,135032.0,74.52,24.843000000000302,6.873999999999796,12.0,380.0,263041.0
Buenos Aires,Centro,2026,Proyectado,base,17820752,11424736,22.446202440476192,400008.0,534623,134615.0,74.82,25.13600000000031,6.373999999999796,14.0,428.0,328043.0
Buenos Aires,Centro,2027,Proyectado,base,17978480,11525854,22.55485410714286,405502.0,539354,133852.0,75.18,25.429000000000315,5.873999999999796,15.0,477.0,393046.0
Buenos Aires,Centro,2028,Proyectado,base,18136207,11626972,22.773409642857136,413023.0,544086,131063.0,75.91,25.72200000000032,5.373999999999796,17.0,525.0,458048.0
Buenos Aires,Centro,2029,Proyectado,base,18293935,11728090,22.8085500595238,417258.0,548818,131560.0,76.03,26.015000000000327,4.873999999999796,19.0,574.0,523051.0
Buenos Aires,Centro,2030,Proyectado,base,18451662,11829208,22.818834226190464,421045.0,553550,132505.0,76.06,26.308000000000334,4.37399999999991,20.0,623.0,588053.0
Buenos Aires,Centro,2015,Histórico,historico,16181153,10373602,18.21,294659.0,485435,190776.0,60.7,21.64,8.51,4.0,171.0,441.0
Buenos Aires,Centro,2016,Histórico,historico,16260980,10424779,19.98,324894.0,487829,162935.0,66.6,22.54,7.74,4.0,230.0,650.0
Buenos Aires,Centro,2017,Histórico,historico,16495733,10575277,19.71,325131.0,494872,169741.0,65.7,23.04,7.63,4.0,218.0,381.0
Buenos Aires,Centro,2018,Histórico,historico,16653666,10676526,21.16,352392.0,499610,147218.0,70.53,22.75,8.42,4.0,254.0,378.0
Buenos Aires,Centro,2019,Histórico,historico,16658192,10679428,21.98,366147.0,499746,133599.0,73.27,22.69,7.72,3.0,257.0,59.0
Buenos Aires,Centro,2020,Histórico,historico,16841026,10796641,16.7,281245.0,505231,223986.0,55.67,22.97,9.46,3.0,165.0,6235.0
Buenos Aires,Centro,2021,Histórico,historico,17065781,10940730,16.68,284657.0,511973,227316.0,55.6,23.94,9.53,7.0,133.0,18.0
Buenos Aires,Centro,2022,Histórico,historico,17196441,11024495,20.32,349432.0,515893,166461.0,67.73,24.27,7.16,8.0,243.0,150.0
Buenos Aires,Centro,2023,Histórico,historico,17366811,11133718,22.32,387627.0,521004,133377.0,74.4,24.47,7.99,9.0,307.0,5015.0
Buenos Aires,Centro,2024,Histórico,historico,17479149,11205737,22.64,395728.0,524374,128646.0,75.47,24.17,7.73,10.0,321.0,328749.0
Buenos Aires,Centro,2025,Proyectado,optimista,17663024,11323618,22.34319758116883,394648.0,529891,135243.0,74.48,27.327300000000335,6.873999999999796,13.799999999999999,570.0,263041.0
Buenos Aires,Centro,2026,Proyectado,optimista,17820752,11424736,22.446202440476192,400008.0,534623,134615.0,74.82,27.64960000000034,6.373999999999796,16.099999999999998,642.0,328043.0
Buenos Aires,Centro,2027,Proyectado,optimista,17978480,11525854,22.554854107142855,405502.0,539354,133852.0,75.18,27.97190000000035,5.873999999999796,17.25,715.5,393046.0
Buenos Aires,Centro,2028,Proyectado,optimista,18136207,11626972,22.801974642857136,413541.0,544086,130545.0,76.01,28.294200000000355,5.373999999999796,19.549999999999997,787.5,458048.0
Buenos Aires,Centro,2029,Proyectado,optimista,18293935,11728090,22.8085500595238,417258.0,548818,131560.0,76.03,28.61650000000036,4.873999999999796,21.849999999999998,861.0,523051.0
Buenos Aires,Centro,2030,Proyectado,optimista,18451662,11829208,22.81883422619047,421045.0,553550,132505.0,76.06,28.93880000000037,4.37399999999991,23.0,934.5,588053.0
Buenos Aires,Centro,2025,Proyectado,pesimista,17663024,11323618,22.260801390692635,393193.0,529891,136698.0,74.2,24.843000000000302,8.248799999999756,12.0,323.0,394561.5
Buenos Aires,Centro,2026,Proyectado,pesimista,17820752,11424736,22.38976736111111,399002.0,534623,135621.0,74.63,25.13600000000031,7.648799999999755,14.0,363.8,492064.5
Buenos Aires,Centro,2027,Proyectado,pesimista,17978480,11525854,22.477809345238093,404117.0,539354,135237.0,74.93,25.429000000000315,7.048799999999756,15.0,405.45,589569.0
Buenos Aires,Centro,2028,Proyectado,pesimista,18136207,11626972,22.52853994047618,408582.0,544086,135504.0,75.1,25.72200000000032,6.448799999999755,17.0,446.25,687072.0
Buenos Aires,Centro,2029,Proyectado,pesimista,18293935,11728090,22.647065654761892,414304.0,548818,134514.0,75.49,26.015000000000327,5.8487999999997555,19.0,487.9,784576.5
Buenos Aires,Centro,2030,Proyectado,pesimista,18451662,11829208,22.8215113095238,421095.0,553550,132455.0,76.07,26.308000000000334,5.248799999999892,20.0,529.55,882079.5
CABA,Centro,2025,Proyectado,base,3154136,2013544,22.115115238095232,69754.0,94624,24870.0,73.72,24.224999999999895,6.415999999999713,3.0,79.0,55989.0
CABA,Centro,2026,Proyectado,base,3182230,2031479,22.379230535714278,71216.0,95467,24251.0,74.6,24.215999999999866,5.589999999999691,3.0,91.0,69287.0
CABA,Centro,2027,Proyectado,base,3210324,2049414,22.608092499999998,72579.0,96310,23731.0,75.36,24.206999999999837,4.763999999999669,3.0,103.0,82584.0
CABA,Centro,2028,Proyectado,base,3238418,2067349,22.594995595238093,73172.0,97153,23981.0,75.32,24.197999999999812,3.937999999999647,3.0,114.0,95882.0
CABA,Centro,2029,Proyectado,base,3266512,2085283,22.604578809523808,73838.0,97995,24157.0,75.35,24.188999999999783,3.1119999999996253,3.0,126.0,109179.0
