Año,Escenario,Población_Total,Donantes_Anuales,Donantes_OMS_Necesarios,Tasa_Nacional_x1000,Brecha_Donantes,Pct_Cumplimiento_OMS
2025,base,46262243,969548.0,1387867,20.96,418319.0,69.87
2026,base,46669648,984955.0,1400089,21.1,415134.0,70.33
2027,base,47077054,1001641.0,1412309,21.28,410668.0,70.93
2028,base,47484459,1013175.0,1424534,21.34,411359.0,71.13
2029,base,47891867,1024583.0,1436754,21.39,412171.0,71.3
2030,base,48299270,1036093.0,1448979,21.45,412886.0,71.5
2015,historico,42364447,786239.0,1270937,18.56,484698.0,61.87
2016,historico,42691517,826742.0,1280745,19.37,454003.0,64.57
2017,historico,43096223,836731.0,1292886,19.42,456155.0,64.73
2018,historico,43525711,871388.0,1305771,20.02,434383.0,66.73
2019,historico,43769011,891869.0,1313070,20.38,421201.0,67.93
2020,historico,44181280,715761.0,1325439,16.2,609678.0,54.0
2021,historico,44665144,723943.0,1339956,16.21,616013.0,54.03
2022,historico,45063991,899611.0,1351920,19.96,452309.0,66.53
2023,historico,45477654,936173.0,1364330,20.59,428157.0,68.63
2024,historico,45812054,950487.0,1374361,20.75,423874.0,69.17
2025,optimista,46262243,973812.0,1387867,21.05,414055.0,70.17
2026,optimista,46669648,990087.0,1400089,21.21,410002.0,70.7
2027,optimista,47077054,1005687.0,1412309,21.36,406622.0,71.2
2028,optimista,47484459,1016330.0,1424534,21.4,408204.0,71.33
2029,optimista,47891867,1028044.0,1436754,21.47,408710.0,71.57
2030,optimista,48299270,1039917.0,1448979,21.53,409062.0,71.77
2025,pesimista,46262243,956668.0,1387867,20.68,431199.0,68.93
2026,pesimista,46669648,980263.0,1400089,21.0,419826.0,70.0
2027,pesimista,47077054,995518.0,1412309,21.15,416791.0,70.5
2028,pesimista,47484459,1008904.0,1424534,21.25,415630.0,70.83
2029,pesimista,47891867,1024180.0,1436754,21.39,412574.0,71.3
2030,pesimista,48299270,1035700.0,1448979,21.44,413279.0,71.47
